product_id,product_key,product_name,category,product_line,spec,color,unit_price,unit_cost,weight_kg,Img
1,BT-EAR-141PRO-BLK,Airdopes 141 Pro,Earbuds,Airdopes,ANC Edition,Active Black,34.99,18.99,0.045,https://via.placeholder.com/300x300.png?text=Airdopes+141+Pro
2,BT-EAR-141PRO-GRY,Airdopes 141 Pro,Earbuds,Airdopes,ANC Edition,Titanium Grey,32.99,17.99,0.045,https://via.placeholder.com/300x300.png?text=Airdopes+141+Pro
3,BT-EAR-131-VIO,Airdopes 131,Earbuds,Airdopes,Standard,Cobalt Violet,24.99,13.99,0.042,https://via.placeholder.com/300x300.png?text=Airdopes+131
4,BT-EAR-121V2-CRM,Airdopes 121v2,Earbuds,Airdopes,Standard,Cream,19.99,10.99,0.04,https://via.placeholder.com/300x300.png?text=Airdopes+121v2
5,BT-EAR-ION-BLK,Nirvana Ion,Earbuds,Nirvana,Premium ANC,Jet Black,44.99,24.99,0.05,https://via.placeholder.com/300x300.png?text=Nirvana+Ion
6,BT-EAR-161-GRP,Airdopes 161,Earbuds,Airdopes,Standard,Graphite,27.99,15.99,0.043,https://via.placeholder.com/300x300.png?text=Airdopes+161
7,BT-NEK-450PRO-GRP,Rockerz 450 Pro,Neckband,Rockerz,ANC Edition,Graphite,22.99,12.99,0.06,https://via.placeholder.com/300x300.png?text=Rockerz+450+Pro
8,BT-NEK-255PRO-GRP,Rockerz 255 Pro+,Neckband,Rockerz,Standard,Graphite,17.99,9.99,0.055,https://via.placeholder.com/300x300.png?text=Rockerz+255+Pro+
9,BT-NEK-235V2-GRP,Rockerz 235v2,Neckband,Rockerz,Basic,Graphite,12.99,6.99,0.05,https://via.placeholder.com/300x300.png?text=Rockerz+235v2
10,BT-SPK-1508-BLK,Stone 1508,Speaker,Stone,100W RGB,Black,89.99,54.99,3.2,https://via.placeholder.com/300x300.png?text=Stone+1508
11,BT-SPK-1000-BLK,Stone 1000,Speaker,Stone,50W,Black,64.99,39.99,2.1,https://via.placeholder.com/300x300.png?text=Stone+1000
12,BT-SPK-190-BLK,Stone 190,Speaker,Stone,10W Portable,Black,19.99,11.99,0.35,https://via.placeholder.com/300x300.png?text=Stone+190
13,BT-HPH-550-BLK,Rockerz 550,Headphone,Rockerz,Wireless Over-ear,Black,29.99,16.99,0.24,https://via.placeholder.com/300x300.png?text=Rockerz+550
14,BT-HPH-450-BBK,Rockerz 450,Headphone,Rockerz,Wireless Over-ear,Brushed Black,24.99,13.99,0.22,https://via.placeholder.com/300x300.png?text=Rockerz+450
15,BT-WCH-NEO-BLK,Wave Neo,Smartwatch,Wave,1.69in Display,Black,27.99,15.99,0.045,https://via.placeholder.com/300x300.png?text=Wave+Neo
16,BT-WCH-XTEND-GRP,Xtend,Smartwatch,Xtend,1.69in AMOLED,Graphite,34.99,19.99,0.05,https://via.placeholder.com/300x300.png?text=Xtend
